"BC49",3098,"2021-10-02",13,14,29,30,39,49,21
"BC49",3099,"2021-10-06",6,7,29,33,34,46,14
"BC49",3100,"2021-10-09",1,4,8,12,14,23,19
"BC49",3101,"2021-10-13",9,18,30,40,45,46,43
"BC49",3102,"2021-10-16",4,7,29,34,42,44,23
"BC49",3103,"2021-10-20",4,5,18,20,25,33,34
"BC49",3104,"2021-10-23",1,25,28,36,44,45,31
"BC49",3105,"2021-10-27",4,8,25,26,28,49,6
"BC49",3106,"2021-10-30",10,12,32,39,40,47,2
"BC49",3107,"2021-11-03",7,23,29,31,36,39,48
"BC49",3108,"2021-11-06",4,12,32,35,37,49,20
"BC49",3109,"2021-11-10",16,19,22,27,40,43,10
"BC49",3110,"2021-11-13",6,7,13,34,41,47,36
"BC49",3111,"2021-11-17",8,12,15,18,20,48,1
"BC49",3112,"2021-11-20",8,9,16,27,29,30,18
"BC49",3113,"2021-11-24",4,9,13,15,38,40,47
"BC49",3114,"2021-11-27",1,13,24,28,33,46,22
"BC49",3115,"2021-12-01",10,17,22,26,41,49,45
"BC49",3116,"2021-12-04",11,14,16,23,31,45,26
"BC49",3117,"2021-12-08",9,16,17,25,47,48,13
"BC49",3118,"2021-12-11",6,13,16,17,18,24,34
"BC49",3119,"2021-12-15",8,14,15,22,31,33,12
"BC49",3120,"2021-12-18",4,8,26,44,45,49,10
"BC49",3121,"2021-12-22",10,12,23,26,38,43,3
"BC49",3122,"2021-12-25",4,12,14,24,33,41,40
"BC49",3123,"2021-12-29",2,7,14,30,38,44,23
"BC49",3124,"2022-01-01",1,7,8,19,21,23,32
"BC49",3125,"2022-01-05",4,8,9,21,35,36,38
"BC49",3126,"2022-01-08",4,9,13,15,24,43,29
"BC49",3127,"2022-01-12",16,26,27,37,43,45,12
"BC49",3128,"2022-01-15",6,13,14,38,44,46,31
"BC49",3129,"2022-01-19",1,2,14,24,39,40,48
"BC49",3130,"2022-01-22",3,10,14,15,17,31,41
"BC49",3131,"2022-01-26",20,25,36,41,47,48,3
"BC49",3132,"2022-01-29",2,5,12,45,46,48,16
"BC49",3133,"2022-02-02",2,15,24,36,37,42,33
"BC49",3134,"2022-02-05",7,10,21,23,26,34,39
"BC49",3135,"2022-02-09",7,10,19,35,46,48,36
"BC49",3136,"2022-02-12",1,5,13,33,35,46,27
"BC49",3137,"2022-02-16",5,14,17,18,25,34,47
"BC49",3138,"2022-02-19",13,22,33,35,36,48,47
"BC49",3139,"2022-02-23",12,15,20,25,34,46,18
"BC49",3140,"2022-02-26",5,23,43,44,47,48,12
"BC49",3141,"2022-03-02",10,19,21,23,35,49,25
"BC49",3142,"2022-03-05",1,13,17,31,35,42,6
"BC49",3143,"2022-03-09",2,21,28,29,37,38,45
"BC49",3144,"2022-03-12",2,6,28,33,38,41,29
"BC49",3145,"2022-03-16",4,17,25,34,38,45,26
"BC49",3146,"2022-03-19",5,15,18,23,31,45,41
"BC49",3147,"2022-03-23",18,19,27,33,46,47,45
"BC49",3148,"2022-03-26",4,5,11,12,14,33,42
"BC49",3149,"2022-03-30",13,14,34,38,48,49,17
"BC49",3150,"2022-04-02",11,18,34,35,39,44,8
"BC49",3151,"2022-04-06",3,12,16,19,33,43,18
"BC49",3152,"2022-04-09",9,16,17,27,32,40,20
"BC49",3153,"2022-04-13",4,10,24,33,35,38,47
"BC49",3154,"2022-04-16",7,14,39,40,45,47,1
"BC49",3155,"2022-04-20",2,16,18,38,40,41,11
"BC49",3156,"2022-04-23",2,5,11,33,46,49,42
"BC49",3157,"2022-04-27",12,25,28,29,39,40,8
"BC49",3158,"2022-04-30",4,12,20,30,33,35,47
"BC49",3159,"2022-05-04",1,7,15,19,24,40,22
"BC49",3160,"2022-05-07",21,23,31,39,40,48,11
"BC49",3161,"2022-05-11",17,21,29,31,37,38,45
"BC49",3162,"2022-05-14",4,11,14,21,27,46,16
"BC49",3163,"2022-05-18",6,15,27,37,39,46,5
"BC49",3164,"2022-05-21",7,17,19,26,28,30,40
"BC49",3165,"2022-05-25",1,3,30,37,44,45,16
"BC49",3166,"2022-05-28",5,15,26,32,41,47,34
"BC49",3167,"2022-06-01",1,10,14,45,48,49,35
"BC49",3168,"2022-06-04",15,19,20,30,38,45,12
"BC49",3169,"2022-06-08",1,5,33,38,40,41,27
"BC49",3170,"2022-06-11",2,19,28,34,43,46,1
"BC49",3171,"2022-06-15",2,12,13,31,35,42,1
"BC49",3172,"2022-06-18",12,19,21,22,27,38,45
"BC49",3173,"2022-06-22",11,13,21,25,36,37,40
