7/7/2021,,5,,,12,,,19,,,44,,,46,,,CB,,,4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/6/2021,,18,,,25,,,30,,,41,,,49,,,CB,,,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/2021,,3,,,10,,,21,,,28,,,51,,,CB,,,4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/4/2021,,1,,,3,,,6,,,25,,,48,,,CB,,,4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/3/2021,,5,,,14,,,28,,,39,,,40,,,CB,,,2,,,,,,,,,,,
7/2/2021,,1,,,9,,,12,,,13,,,20,,,CB,,,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2021,,5,,,32,,,45,,,46,,,54,,,CB,,,3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2021,,1,,,27,,,29,,,41,,,44,,,CB,,,4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/29/2021,,1,,,9,,,15,,,30,,,41,,,CB,,,4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/28/2021,,10,,,19,,,38,,,52,,,60,,,CB,,,2,,,,,,,,,,,
6/27/2021,,6,,,35,,,36,,,38,,,39,,,CB,,,4,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/26/2021,,3,,,13,,,33,,,41,,,48,,,CB,,,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/25/2021,,9,,,28,,,44,,,46,,,53,,,CB,,,3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/24/2021,,13,,-,,39,,-,,41,,-,,48,,-,,50,,CB,,4,,,,,,,,,
6/23/2021,,10,,-,,25,,-,,29,,-,,31,,-,,60,,CB,,4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/22/2021,,5,,-,,7,,-,,17,,-,,19,,-,,33,,CB,,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/2021,,26,,-,,29,,-,,41,,-,,57,,-,,60,,CB,,4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/20/2021,,21,,-,,39,,-,,41,,-,,45,,-,,58,,CB,,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/19/2021,,9,,-,,12,,-,,13,,-,,39,,-,,54,,CB,,1,,,,,,,,,
6/18/2021,,11,,-,,20,,-,,26,,-,,56,,-,,57,,CB,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2021,,3,,-,,18,,-,,23,,-,,50,,-,,53,,CB,,4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/16/2021,,10,,-,,32,,-,,41,,-,,42,,-,,51,,CB,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/15/2021,,2,,-,,5,,-,,11,,-,,35,,-,,59,,CB,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/14/2021,,18,,-,,20,,-,,45,,-,,57,,-,,60,,CB,,4,,,,,,,,,
6/13/2021,,2,,-,,8,,-,,24,,-,,26,,-,,43,,CB,,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/12/2021,,16,,-,,21,,-,,23,,-,,24,,-,,58,,CB,,4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/11/2021,,8,,-,,24,,-,,47,,-,,48,,-,,56,,CB,,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/10/2021,,13,,-,,19,,-,,22,,-,,36,,-,,55,,CB,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/9/2021,,19,,-,,21,,-,,29,,-,,52,,-,,56,,CB,,2,,,,,,,,,
6/8/2021,,4,,-,,7,,-,,9,,-,,10,,-,,41,,CB,,4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/7/2021,,6,,-,,14,,-,,25,,-,,28,,-,,33,,CB,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/6/2021,,16,,-,,25,,-,,34,,-,,47,,-,,51,,CB,,4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/5/2021,,1,,-,,4,,-,,26,,-,,31,,-,,36,,CB,,4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/2021,,6,,-,,30,,-,,33,,-,,49,,-,,52,,CB,,4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/3/2021,,5,,-,,7,,-,,14,,-,,29,,-,,40,,CB,,2,,,,,,,,,
6/2/2021,,40,,-,,44,,-,,46,,-,,51,,-,,54,,CB,,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/2021,,21,,-,,25,,-,,31,,-,,54,,-,,57,,CB,,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/31/2021,,19,,-,,22,,-,,43,,-,,46,,-,,54,,CB,,4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/30/2021,,9,,-,,12,,-,,34,,-,,40,,-,,43,,CB,,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/29/2021,,6,,-,,27,,-,,44,,-,,51,,-,,52,,CB,,1,,,,,,,,,
5/28/2021,,10,,-,,11,,-,,26,,-,,27,,-,,57,,CB,,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/27/2021,,5,,-,,14,,-,,21,,-,,38,,-,,42,,CB,,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/26/2021,,3,,-,,6,,-,,29,,-,,58,,-,,60,,CB,,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/25/2021,,1,,-,,16,,-,,28,,-,,38,,-,,41,,CB,,4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/24/2021,,8,,-,,15,,-,,19,,-,,39,,-,,55,,CB,,2,,,,,,,,,
5/23/2021,,8,,-,,24,,-,,31,,-,,39,,-,,44,,CB,,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2021,,10,,-,,18,,-,,22,,-,,38,,-,,54,,CB,,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/21/2021,,6,,-,,15,,-,,23,,-,,47,,-,,56,,CB,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/20/2021,,1,,-,,21,,-,,23,,-,,50,,-,,55,,CB,,4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/19/2021,,5,,-,,7,,-,,24,,-,,29,,-,,31,,CB,,2,,,,,,,,,
5/18/2021,,7,,-,,18,,-,,29,,-,,39,,-,,40,,CB,,4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/17/2021,,31,,-,,43,,-,,44,,-,,46,,-,,58,,CB,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/16/2021,,2,,-,,5,,-,,8,,-,,37,,-,,41,,CB,,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/15/2021,,8,,-,,15,,-,,24,,-,,41,,-,,49,,CB,,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/14/2021,,3,,-,,5,,-,,26,,-,,35,,-,,60,,CB,,1,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/13/2021,,9,,-,,33,,-,,37,,-,,47,,-,,55,,CB,,3,,,,,,,,,
5/12/2021,,32,,-,,40,,-,,41,,-,,54,,-,,56,,CB,,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/11/2021,,6,,-,,21,,-,,25,,-,,56,,-,,57,,CB,,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/10/2021,,37,,-,,42,,-,,44,,-,,45,,-,,52,,CB,,4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/9/2021,,4,,-,,14,,-,,33,,-,,35,,-,,37,,CB,,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/8/2021,,1,,-,,9,,-,,20,,-,,49,,-,,56,,CB,,4,,,,,,,,,
5/7/2021,,14,,-,,20,,-,,21,,-,,30,,-,,47,,CB,,2,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/6/2021,,6,,-,,9,,-,,16,,-,,20,,-,,25,,CB,,4,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/5/2021,,2,,-,,37,,-,,54,,-,,56,,-,,60,,CB,,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
