PRODUCT,DRAW NUMBER,DRAW DATE,NUMBER DRAWN 1,NUMBER DRAWN 2,NUMBER DRAWN 3,NUMBER DRAWN 4
DGRD,142,2/26/2018,14,16,40,58
DGRD,143,3/1/2018,4,31,52,62
DGRD,144,3/5/2018,3,30,39,42
DGRD,145,3/8/2018,33,64,67,73
DGRD,146,3/12/2018,13,17,39,55
DGRD,147,3/15/2018,70,77,80,98
DGRD,148,3/19/2018,16,44,74,77
DGRD,149,3/22/2018,43,51,78,83
DGRD,150,3/26/2018,10,14,65,72
DGRD,151,3/29/2018,11,71,87,97
DGRD,152,4/2/2018,32,36,52,65
DGRD,153,4/5/2018,52,65,75,85
DGRD,154,4/9/2018,34,46,67,76
DGRD,155,4/12/2018,42,57,73,85
DGRD,156,4/16/2018,2,41,69,80
DGRD,157,4/19/2018,19,26,38,45
DGRD,158,4/23/2018,10,27,56,57
DGRD,159,4/26/2018,9,27,63,96
DGRD,160,4/30/2018,8,16,23,62
DGRD,161,5/3/2018,6,85,87,91
DGRD,162,5/7/2018,4,50,55,56
DGRD,163,5/10/2018,23,51,53,89
DGRD,164,5/14/2018,16,30,39,57
DGRD,165,5/17/2018,11,14,78,85
DGRD,166,5/21/2018,7,56,71,96
DGRD,167,5/24/2018,25,35,78,92
DGRD,168,5/28/2018,4,20,36,57
DGRD,169,5/31/2018,1,63,94,95
DGRD,170,6/4/2018,4,57,59,83
DGRD,171,6/7/2018,40,44,64,68
DGRD,172,6/11/2018,22,59,78,87
DGRD,173,6/14/2018,7,17,56,90
DGRD,174,6/18/2018,2,20,74,83
DGRD,175,6/21/2018,26,29,47,73
DGRD,176,6/25/2018,2,64,67,99
DGRD,177,6/28/2018,9,20,36,51
DGRD,178,7/2/2018,15,19,59,73
DGRD,179,7/5/2018,1,2,30,42
DGRD,180,7/9/2018,9,43,45,70
DGRD,181,7/12/2018,3,58,81,83
DGRD,182,7/16/2018,11,50,84,85
DGRD,183,7/19/2018,14,24,37,55
DGRD,184,7/23/2018,40,55,68,75
DGRD,185,7/26/2018,6,45,54,83
DGRD,186,7/30/2018,24,55,86,87
DGRD,187,8/2/2018,2,9,29,75
DGRD,188,8/6/2018,14,29,68,87
DGRD,189,8/9/2018,60,62,80,86
DGRD,190,8/13/2018,10,27,81,85
DGRD,191,8/16/2018,7,9,10,40
DGRD,192,8/20/2018,12,14,34,52
DGRD,193,8/23/2018,22,33,54,74
DGRD,194,8/27/2018,3,12,43,96
DGRD,195,8/30/2018,7,33,54,70
DGRD,196,9/3/2018,13,15,60,71
DGRD,197,9/6/2018,48,54,70,77
DGRD,198,9/10/2018,19,28,41,79
DGRD,199,9/13/2018,14,50,51,74
DGRD,200,9/17/2018,3,12,68,81
DGRD,201,9/20/2018,45,57,86,91
DGRD,202,9/24/2018,17,47,64,90
DGRD,203,9/27/2018,6,15,83,97
DGRD,204,10/1/2018,7,27,49,90
DGRD,205,10/4/2018,20,36,56,57
DGRD,206,10/8/2018,12,33,45,56
DGRD,207,10/11/2018,2,3,22,97
DGRD,208,10/15/2018,27,52,56,65
DGRD,209,10/18/2018,12,14,43,94
DGRD,210,10/22/2018,24,41,69,93
DGRD,211,10/25/2018,1,71,76,84
DGRD,212,10/29/2018,45,46,51,53
DGRD,213,11/1/2018,11,21,31,41
DGRD,214,11/5/2018,9,25,76,95
DGRD,215,11/8/2018,13,67,76,85
DGRD,216,11/12/2018,19,36,42,84
DGRD,217,11/15/2018,14,17,39,91
DGRD,218,11/19/2018,1,16,25,45
DGRD,219,11/22/2018,10,32,43,85
DGRD,220,11/26/2018,23,29,71,73
DGRD,221,11/29/2018,41,66,77,78
DGRD,222,12/3/2018,21,27,30,62
DGRD,223,12/6/2018,59,74,75,92
DGRD,224,12/10/2018,7,34,39,88
DGRD,225,12/13/2018,34,42,45,98
DGRD,226,12/17/2018,16,58,90,92
DGRD,227,12/20/2018,9,33,75,84
DGRD,228,12/24/2018,49,71,78,91
DGRD,229,12/27/2018,22,43,81,84
DGRD,230,12/31/2018,9,19,33,34
DGRD,231,1/3/2019,4,14,39,53
DGRD,232,1/7/2019,31,39,43,65
DGRD,233,1/10/2019,7,44,48,90
DGRD,234,1/14/2019,21,30,47,90
DGRD,235,1/17/2019,1,6,24,75
DGRD,236,1/21/2019,25,62,73,75
DGRD,237,1/24/2019,28,66,87,92
DGRD,238,1/28/2019,36,41,61,65
DGRD,239,1/31/2019,21,27,73,87
DGRD,240,2/4/2019,5,10,41,43
DGRD,241,2/7/2019,25,30,47,52
DGRD,242,2/11/2019,1,25,46,99
DGRD,243,2/14/2019,22,43,55,85
DGRD,244,2/18/2019,26,52,63,77
DGRD,245,2/21/2019,9,32,74,96
DGRD,246,2/25/2019,6,35,82,94
DGRD,247,2/28/2019,37,44,65,72
DGRD,248,3/4/2019,42,50,84,89
DGRD,249,3/7/2019,16,21,30,94
DGRD,250,3/11/2019,63,66,86,98
DGRD,251,3/14/2019,1,12,20,26
DGRD,252,3/18/2019,12,52,66,78
DGRD,253,3/21/2019,20,49,58,95
DGRD,254,3/25/2019,57,65,67,98
DGRD,255,3/28/2019,17,28,79,92
DGRD,256,4/1/2019,33,56,58,66
DGRD,257,4/4/2019,12,32,77,93
DGRD,258,4/8/2019,13,15,19,89
DGRD,259,4/11/2019,37,50,72,78
DGRD,260,4/15/2019,58,59,69,96
DGRD,261,4/18/2019,12,18,42,83
DGRD,262,4/22/2019,48,73,82,97
DGRD,263,4/25/2019,6,22,31,54
DGRD,264,4/29/2019,15,21,37,69
DGRD,265,5/2/2019,1,24,42,45
DGRD,266,5/6/2019,61,70,95,98
DGRD,267,5/9/2019,53,56,75,86
DGRD,268,5/13/2019,41,44,74,91
DGRD,269,5/16/2019,28,74,85,94
DGRD,270,5/20/2019,22,38,55,91
DGRD,271,5/23/2019,1,5,12,94
DGRD,272,5/27/2019,2,76,93,99
DGRD,273,5/30/2019,11,32,70,93
DGRD,274,6/3/2019,36,49,51,72
DGRD,275,6/6/2019,42,55,62,78
DGRD,276,6/10/2019,5,50,70,78
DGRD,277,6/13/2019,34,35,61,75
DGRD,278,6/17/2019,22,51,52,80
DGRD,279,6/20/2019,1,53,59,85
DGRD,280,6/24/2019,2,35,41,67
DGRD,281,6/27/2019,58,73,75,78
DGRD,282,7/1/2019,31,49,56,59
DGRD,283,7/4/2019,4,6,16,57
DGRD,284,7/8/2019,16,17,32,73
DGRD,285,7/11/2019,19,30,79,98
DGRD,286,7/15/2019,8,29,44,48
DGRD,287,7/18/2019,52,60,76,89
DGRD,288,7/22/2019,1,11,54,55
DGRD,289,7/25/2019,4,10,56,65
DGRD,290,7/29/2019,9,20,53,97
DGRD,291,8/1/2019,42,80,90,96
DGRD,292,8/5/2019,46,47,63,88
DGRD,293,8/8/2019,11,32,61,96
DGRD,294,8/12/2019,4,37,58,85
DGRD,295,8/15/2019,19,76,77,94
DGRD,296,8/19/2019,17,32,41,77
DGRD,297,8/22/2019,7,32,77,78
DGRD,298,8/26/2019,11,64,74,81
DGRD,299,8/29/2019,60,80,82,87
DGRD,300,9/2/2019,43,56,79,85
DGRD,301,9/5/2019,6,27,47,95
DGRD,302,9/9/2019,44,52,58,93
DGRD,303,9/12/2019,2,10,49,85
DGRD,304,9/16/2019,9,45,58,66
DGRD,305,9/19/2019,52,68,81,87
DGRD,306,9/23/2019,25,51,65,70
DGRD,307,9/26/2019,8,11,23,82
DGRD,308,9/30/2019,50,67,73,76
DGRD,309,10/3/2019,31,63,92,97
DGRD,310,10/7/2019,4,28,61,71
DGRD,311,10/10/2019,1,77,81,94
DGRD,312,10/14/2019,10,18,89,95
