11/15/17		3		-		8		-		18		-		22		-		24		09/24/17		3		-		13		-		14		-		20		-		32		08/03/17		4		-		13		-		27		-		31		-		35	
11/14/17		9		-		11		-		23		-		26		-		34		09/23/17		1		-		2		-		4		-		25		-		27		08/02/17		4		-		9		-		18		-		22		-		25	
11/13/17		2		-		13		-		16		-		18		-		24		09/22/17		5		-		11		-		14		-		19		-		31		08/01/17		6		-		8		-		13		-		20		-		27	
11/12/17		1		-		22		-		24		-		25		-		26		09/21/17		3		-		12		-		19		-		22		-		26		07/31/17		2		-		9		-		19		-		21		-		25	
11/11/17		1		-		11		-		24		-		25		-		35		09/20/17		2		-		17		-		23		-		27		-		32		07/30/17		3		-		27		-		32		-		35		-		36	
11/10/17		1		-		5		-		15		-		30		-		34		09/19/17		6		-		17		-		23		-		26		-		36		07/29/17		2		-		14		-		16		-		25		-		30	
11/09/17		16		-		18		-		20		-		28		-		33		09/18/17		3		-		9		-		16		-		17		-		24		07/28/17		1		-		24		-		26		-		28		-		35	
11/08/17		3		-		7		-		12		-		26		-		29		09/17/17		4		-		16		-		18		-		19		-		36		07/27/17		14		-		15		-		32		-		33		-		35	
11/07/17		1		-		16		-		27		-		34		-		35		09/16/17		2		-		7		-		14		-		23		-		31		07/26/17		1		-		11		-		22		-		35		-		36	
11/06/17		1		-		10		-		17		-		24		-		29		09/15/17		9		-		16		-		19		-		23		-		34		07/25/17		2		-		4		-		5		-		27		-		35	
11/05/17		2		-		23		-		24		-		26		-		34		09/14/17		5		-		9		-		19		-		27		-		36		07/24/17		2		-		14		-		22		-		27		-		32	
11/04/17		5		-		14		-		20		-		22		-		30		09/13/17		6		-		7		-		17		-		24		-		28		07/23/17		1		-		6		-		7		-		14		-		36	
11/03/17		4		-		9		-		15		-		21		-		27		09/12/17		15		-		18		-		25		-		33		-		36		07/22/17		3		-		6		-		8		-		25		-		29	
11/02/17		20		-		27		-		28		-		33		-		36		09/11/17		1		-		15		-		25		-		28		-		31		07/21/17		6		-		7		-		14		-		15		-		27	
